# SPEC File: S:/Myspot_backup/MPI/Guest/Tomasz\ML_18keV_17th_March_2026.dat
# SPEC Input Runs: 63; 178 - 274
# BACKGROUND SUBTRATCION: True
# HOW MANY SAMPLES - Data: 1
# Reduction Protocol: Time Scan
# Array Shape: (2805,)
# AXIS 0 - Name: Epoch
# AXIS 0 - Min.: 91513156.0
# AXIS 0 - Max.: 91565426.0
# AXIS 0 - Digits: 3
# AXIS 0 - Index: False
# File Type: Time Scan Sequence
# Epoch (Relative), Trans., Err., Mask, Epoch (Absolute)
0.000000000000000000e+00	6.578866162992126343e-01	2.010852260505635765e-03	1.000000000000000000e+00	9.151315600000000000e+07
1.700000000000000000e+01	6.565504141531403048e-01	2.005642815651730373e-03	1.000000000000000000e+00	9.151317300000000000e+07
3.300000000000000000e+01	6.592475783699472958e-01	2.160762712463835857e-03	1.000000000000000000e+00	9.151318900000000000e+07
4.900000000000000000e+01	6.585588812631615330e-01	2.255336222119136598e-03	1.000000000000000000e+00	9.151320500000000000e+07
6.500000000000000000e+01	6.568714913155853097e-01	2.005535790595733541e-03	1.000000000000000000e+00	9.151322100000000000e+07
8.200000000000000000e+01	6.613202653736470760e-01	2.009208816887371723e-03	1.000000000000000000e+00	9.151323800000000000e+07
9.800000000000000000e+01	6.609646097885140126e-01	2.011675521016280128e-03	1.000000000000000000e+00	9.151325400000000000e+07
1.140000000000000000e+02	6.579097897106586101e-01	2.003871546906477088e-03	1.000000000000000000e+00	9.151327000000000000e+07
1.310000000000000000e+02	6.579269336495285891e-01	2.002944203719071552e-03	1.000000000000000000e+00	9.151328700000000000e+07
1.470000000000000000e+02	6.605724116730458118e-01	2.017489070824423931e-03	1.000000000000000000e+00	9.151330300000000000e+07
1.630000000000000000e+02	6.581672027292612137e-01	2.005885454662504480e-03	1.000000000000000000e+00	9.151331900000000000e+07
1.800000000000000000e+02	6.596028528396723489e-01	2.015550630913465636e-03	1.000000000000000000e+00	9.151333600000000000e+07
1.960000000000000000e+02	6.621994445267997964e-01	2.012337172760726191e-03	1.000000000000000000e+00	9.151335200000000000e+07
2.130000000000000000e+02	6.607467918694517328e-01	2.165412199508738329e-03	1.000000000000000000e+00	9.151336900000000000e+07
2.290000000000000000e+02	6.597923200549490330e-01	2.265340246805312534e-03	1.000000000000000000e+00	9.151338500000000000e+07
2.450000000000000000e+02	6.560363126399710865e-01	2.271527053088891104e-03	1.000000000000000000e+00	9.151340100000000000e+07
2.610000000000000000e+02	6.636716456513452878e-01	2.025189935380344083e-03	1.000000000000000000e+00	9.151341700000000000e+07
2.770000000000000000e+02	6.620559269774914934e-01	2.013382769874010655e-03	1.000000000000000000e+00	9.151343300000000000e+07
2.940000000000000000e+02	6.617585231674326662e-01	2.303619315259195725e-03	1.000000000000000000e+00	9.151345000000000000e+07
3.100000000000000000e+02	6.596704506873083407e-01	2.007944753525573323e-03	1.000000000000000000e+00	9.151346600000000000e+07
3.260000000000000000e+02	6.761506351476640475e-01	2.047767784607700241e-03	1.000000000000000000e+00	9.151348200000000000e+07
3.420000000000000000e+02	6.597313764924098711e-01	2.008652830963810441e-03	1.000000000000000000e+00	9.151349800000000000e+07
3.590000000000000000e+02	6.647168669646680295e-01	2.026163578522216339e-03	1.000000000000000000e+00	9.151351500000000000e+07
3.750000000000000000e+02	6.655645690104902146e-01	2.027090288416855558e-03	1.000000000000000000e+00	9.151353100000000000e+07
3.910000000000000000e+02	6.649304999768140823e-01	2.178932652291817526e-03	1.000000000000000000e+00	9.151354700000000000e+07
4.080000000000000000e+02	6.628540894102633585e-01	2.273879935987818852e-03	1.000000000000000000e+00	9.151356400000000000e+07
4.240000000000000000e+02	6.615310287733772165e-01	2.019428371507833806e-03	1.000000000000000000e+00	9.151358000000000000e+07
4.400000000000000000e+02	6.630710776051829125e-01	2.027051916628285193e-03	1.000000000000000000e+00	9.151359600000000000e+07
4.560000000000000000e+02	6.620360162686173000e-01	2.027507081304891212e-03	1.000000000000000000e+00	9.151361200000000000e+07
4.720000000000000000e+02	6.626095148636430565e-01	2.021320794619031226e-03	1.000000000000000000e+00	9.151362800000000000e+07
4.890000000000000000e+02	6.619759558842011060e-01	2.020686731285181552e-03	1.000000000000000000e+00	9.151364500000000000e+07
5.050000000000000000e+02	6.656231407795972776e-01	2.030844235620427648e-03	1.000000000000000000e+00	9.151366100000000000e+07
5.210000000000000000e+02	6.648433236001995983e-01	2.321849564443989773e-03	1.000000000000000000e+00	9.151367700000000000e+07
5.380000000000000000e+02	6.651070972615469312e-01	2.031167577803723659e-03	1.000000000000000000e+00	9.151369400000000000e+07
5.540000000000000000e+02	6.668335198291144295e-01	2.033320101208562717e-03	1.000000000000000000e+00	9.151371000000000000e+07
5.700000000000000000e+02	6.657007006069584065e-01	2.180784583462299156e-03	1.000000000000000000e+00	9.151372600000000000e+07
5.860000000000000000e+02	6.637483080504246180e-01	2.275502069124890701e-03	1.000000000000000000e+00	9.151374200000000000e+07
6.030000000000000000e+02	6.642431933778715214e-01	2.027260812285861316e-03	1.000000000000000000e+00	9.151375900000000000e+07
6.190000000000000000e+02	6.695915040834078402e-01	2.041086544367835213e-03	1.000000000000000000e+00	9.151377500000000000e+07
6.360000000000000000e+02	6.635292866450199778e-01	2.023509455648578488e-03	1.000000000000000000e+00	9.151379200000000000e+07
6.520000000000000000e+02	6.687072213488275407e-01	2.035050189475794049e-03	1.000000000000000000e+00	9.151380800000000000e+07
6.680000000000000000e+02	6.633404366154492804e-01	2.028857998359162064e-03	1.000000000000000000e+00	9.151382400000000000e+07
6.840000000000000000e+02	6.664790017195272309e-01	2.035074615785257852e-03	1.000000000000000000e+00	9.151384000000000000e+07
7.000000000000000000e+02	6.633871069734438297e-01	2.032267799996708996e-03	1.000000000000000000e+00	9.151385600000000000e+07
7.170000000000000000e+02	6.662807721643542180e-01	2.269180821183413351e-03	1.000000000000000000e+00	9.151387300000000000e+07
